Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
ComputeVolumetricFog,2957,2957.000000,1.204001,0.000226,0.001364,0.000407,0.000249,0.003761,0.000000,0.000004,0.000001,0.000001
VolumetricFog,2957,2957.000000,1.200241,0.000225,0.001362,0.000406,0.000248,0.032967,0.000002,0.001031,0.000011,0.000002
SViewport_OnPaint,2957,2957.000000,1.190701,0.000330,0.001173,0.000403,0.000364,0.000787,0.000000,0.000023,0.000000,0.000000
Game UI Paint,2957,2957.000000,1.189914,0.000330,0.001173,0.000402,0.000364,0.016483,0.000003,0.000147,0.000006,0.000005
RenderVirtualShadowMaps,2957,2957.000000,1.185477,0.000186,0.001399,0.000401,0.000296,0.117252,0.000021,0.000931,0.000040,0.000030
Lights,2957,2957.000000,1.163250,0.000152,0.001366,0.000393,0.000251,0.000248,0.000000,0.000002,0.000000,0.000000
DirectLighting,2957,2957.000000,1.163001,0.000152,0.001366,0.000393,0.000251,0.095015,0.000022,0.000929,0.000032,0.000022
FXSystemPreRender,5914,5914.000000,1.131641,0.000000,0.007265,0.000191,0.000073,1.131170,0.000000,0.007265,0.000191,0.000073
Paint: Game UI,2957,2957.000000,1.105474,0.000307,0.001108,0.000374,0.000331,0.049169,0.000007,0.000159,0.000017,0.000015
UnbatchedLights,2957,2957.000000,1.067986,0.000129,0.001334,0.000361,0.000226,0.000505,0.000000,0.000003,0.000000,0.000000
%s,2957,2957.000000,1.067481,0.000129,0.001333,0.000361,0.000226,0.153688,0.000027,0.000948,0.000052,0.000036
SConstraintCanvas,29568,29568.000000,1.046197,0.000000,0.000962,0.000035,0.000000,0.759456,0.000001,0.000370,0.000026,0.000009
CharMoveComp,11828,11828.000000,1.030242,0.000001,0.000662,0.000087,0.000061,0.007647,0.000000,0.000038,0.000001,0.000000
UCharacterMovementComponent_TickComponent,11828,11828.000000,1.022594,0.000001,0.000662,0.000086,0.000061,0.002231,0.000000,0.000023,0.000000,0.000000
Char Movement Total,11828,11828.000000,1.020363,0.000001,0.000661,0.000086,0.000061,0.002415,0.000000,0.000042,0.000000,0.000000
Char Tick,11828,11828.000000,1.017948,0.000001,0.000661,0.000086,0.000061,0.026427,0.000000,0.000078,0.000002,0.000001
Char Simulated Time,11828,11828.000000,0.971417,0.000000,0.000648,0.000082,0.000059,0.058813,0.000000,0.000081,0.000005,0.000003
WBP_CommanderHUD_C /Engine/Transient.GameEngine_0:GameInstance_0.WBP_CommanderHUD_C_0_Paint,2957,2957.000000,0.967168,0.000271,0.000950,0.000327,0.000291,0.004314,0.000000,0.000029,0.000001,0.000001
ShadowProjectionOnOpaque,2957,2957.000000,0.913793,0.000101,0.001293,0.000309,0.000186,0.913793,0.000101,0.001293,0.000309,0.000186
GuLiCommanderPresentationActor,2957,2957.000000,0.889604,0.000231,0.000884,0.000301,0.000284,0.004304,0.000001,0.000020,0.000001,0.000001
GuLiCommanderPresentation_RebuildLocalInstances,2957,2957.000000,0.885300,0.000230,0.000882,0.000299,0.000283,0.045739,0.000010,0.000169,0.000015,0.000013
LumenSceneLighting%s,2956,2956.000000,0.870778,0.000157,0.001349,0.000295,0.000205,0.072378,0.000009,0.000859,0.000024,0.000018
SceneQueryTotal,15326,15326.000000,0.817274,0.000000,0.000342,0.000053,0.000048,0.003457,0.000000,0.000018,0.000000,0.000000
VolumetricFog::LightScattering,2957,2957.000000,0.803309,0.000139,0.001255,0.000272,0.000150,0.803309,0.000139,0.001255,0.000272,0.000150
MainPass,5914,5914.000000,0.797933,0.000061,0.001219,0.000135,0.000108,0.438806,0.000032,0.001150,0.000074,0.000054
GuLiCommanderPresentation_Interpolation,2957,2957.000000,0.794202,0.000198,0.000702,0.000269,0.000254,0.794202,0.000198,0.000702,0.000269,0.000254
UpdateCoreCsvStats_BeginFrame,2957,2957.000000,0.791211,0.000066,0.000416,0.000268,0.000274,0.791211,0.000066,0.000416,0.000268,0.000274
Slate::Prepass,2957,2957.000000,0.752247,0.000210,0.000634,0.000254,0.000236,0.012361,0.000003,0.000059,0.000004,0.000004
SlatePrepass,11827,11827.000000,0.743912,0.000000,0.000628,0.000063,0.000000,0.603662,0.000001,0.000398,0.000051,0.000049
Char FindFloor,10869,10869.000000,0.705978,0.000029,0.000345,0.000065,0.000054,0.031894,0.000000,0.000056,0.000003,0.000002
GeomSweepSingle,10869,10869.000000,0.671837,0.000028,0.000341,0.000062,0.000056,0.028357,0.000000,0.000127,0.000003,0.000001
TranslucencyVolumeLighting,2957,2957.000000,0.671332,0.000111,0.001354,0.000227,0.000161,0.671332,0.000111,0.001354,0.000227,0.000161
BeginRenderingViewFamily,2957,2957.000000,0.669269,0.000126,0.000769,0.000226,0.000217,0.211600,0.000048,0.000275,0.000072,0.000067
Nanite::VisBuffer,2957,2957.000000,0.662996,0.000168,0.001200,0.000224,0.000178,0.000694,0.000000,0.000003,0.000000,0.000000
ComputeFloorDist,10869,10869.000000,0.643479,0.000027,0.000339,0.000059,0.000055,0.619253,0.000027,0.000334,0.000057,0.000054
Door,35484,35484.000000,0.633961,0.000000,0.000260,0.000018,0.000011,0.012366,0.000000,0.000035,0.000000,0.000000
Integrate,2957,2957.000000,0.629917,0.000084,0.001377,0.000213,0.000136,0.629917,0.000084,0.001377,0.000213,0.000136
SK_RPF_Door,35484,35484.000000,0.621595,0.000000,0.000260,0.000018,0.000010,0.067358,0.000000,0.000167,0.000002,0.000002
VirtualShadowMapMarkPages,2957,2957.000000,0.620892,0.000146,0.001229,0.000210,0.000168,0.007171,0.000001,0.000494,0.000002,0.000001
ShadowDepths,2957,2957.000000,0.613722,0.000145,0.001228,0.000208,0.000156,0.018483,0.000001,0.000888,0.000006,0.000001
FVirtualShadowMapArray::BeginMarkPages,2957,2957.000000,0.595239,0.000141,0.001223,0.000201,0.000163,0.595239,0.000141,0.001223,0.000201,0.000163
HZB,2957,2957.000000,0.562500,0.000129,0.001113,0.000190,0.000129,0.000241,0.000000,0.000002,0.000000,0.000000
BeginOcclusionTests,2957,2957.000000,0.562259,0.000129,0.001113,0.000190,0.000129,0.000271,0.000000,0.000002,0.000000,0.000000
BeginOcclusionTests,2957,2957.000000,0.561988,0.000129,0.001113,0.000190,0.000129,0.000242,0.000000,0.000002,0.000000,0.000000
ViewOcclusionTests,2957,2957.000000,0.561746,0.000129,0.001113,0.000190,0.000129,0.001051,0.000000,0.000794,0.000000,0.000000
BeginOcclusionTests,2957,2957.000000,0.560695,0.000129,0.001113,0.000190,0.000129,0.013899,0.000001,0.000877,0.000005,0.000001
IndividualQueries,2957,2957.000000,0.539684,0.000123,0.001108,0.000183,0.000123,0.539684,0.000123,0.001108,0.000183,0.000123
PostPass,5914,5914.000000,0.494080,0.000046,0.001031,0.000084,0.000066,0.345655,0.000032,0.000966,0.000058,0.000050
STAT_UGameEngine_Tick_IStreamingManager,2957,2957.000000,0.490713,0.000047,0.000447,0.000166,0.000188,0.004360,0.000001,0.000028,0.000001,0.000001
FStreamingManagerCollection::UpdateResourceStreaming,2957,2957.000000,0.486353,0.000046,0.000445,0.000164,0.000187,0.022422,0.000005,0.000098,0.000008,0.000007
Deferred Tick Time,2957,2957.000000,0.464464,0.000123,0.000421,0.000157,0.000150,0.004929,0.000001,0.000047,0.000002,0.000002
Tick_Core,2957,2957.000000,0.447073,0.000118,0.000414,0.000151,0.000142,0.004458,0.000001,0.000005,0.000002,0.000002
STAT_FTicker_Tick,8871,8871.000000,0.442615,0.000000,0.000413,0.000050,0.000000,0.363720,0.000000,0.000382,0.000041,0.000004
Renderable Asset Streaming Game Thread Update Time,2957,2957.000000,0.440720,0.000035,0.000426,0.000149,0.000173,0.045121,0.000010,0.000077,0.000015,0.000014
AnimGameThreadTime,35484,35484.000000,0.437271,0.000000,0.000261,0.000012,0.000008,0.008061,0.000000,0.000091,0.000000,0.000000
VirtualTextureUpdate,2957,2957.000000,0.433175,0.000076,0.001120,0.000146,0.000087,0.433175,0.000076,0.001120,0.000146,0.000087
Capture,3330,3330.000000,0.424431,0.000000,0.001569,0.000127,0.000016,0.208646,0.000000,0.001569,0.000063,0.000000
FVirtualShadowMapArray::BuildPageAllocation,2957,2957.000000,0.423009,0.000058,0.001146,0.000143,0.000091,0.371658,0.000054,0.001067,0.000126,0.000075
SendAllEndOfFrameUpdates,2957,2957.000000,0.419705,0.000057,0.000687,0.000142,0.000139,0.001218,0.000000,0.000027,0.000000,0.000000
UWorld_SendAllEndOfFrameUpdates,2957,2957.000000,0.418486,0.000056,0.000687,0.000142,0.000139,0.001768,0.000000,0.000006,0.000001,0.000001
Post Tick Component Update,2957,2957.000000,0.416718,0.000056,0.000686,0.000141,0.000138,0.053851,0.000014,0.000259,0.000018,0.000016
SlateUI Title = %s,2957,2957.000000,0.406721,0.000070,0.001254,0.000138,0.000094,0.373522,0.000063,0.001245,0.000126,0.000087
GuLiCommanderPlayerController,2957,2957.000000,0.397952,0.000105,0.000326,0.000135,0.000125,0.004231,0.000001,0.000033,0.000001,0.000001
PlayerController Tick,2957,2957.000000,0.393720,0.000104,0.000324,0.000133,0.000124,0.001850,0.000000,0.000030,0.000001,0.000000
PC Tick Actor,2957,2957.000000,0.391870,0.000104,0.000323,0.000133,0.000124,0.014476,0.000003,0.000103,0.000005,0.000004
PlayerTick,2957,2957.000000,0.376527,0.000099,0.000317,0.000127,0.000117,0.176628,0.000045,0.000185,0.000060,0.000054
Mass Total Frame Time,23656,23656.000000,0.375734,0.000001,0.000371,0.000016,0.000005,0.077450,0.000000,0.000091,0.000003,0.000004
TickableGameObjects Time,5914,5914.000000,0.366683,0.000026,0.000364,0.000062,0.000070,0.164748,0.000012,0.000300,0.000028,0.000030
DeferredRenderUpdates_GameThread,2957,2957.000000,0.360533,0.000040,0.000619,0.000122,0.000117,0.026203,0.000004,0.000067,0.000009,0.000008
Nanite::Streaming,2957,2957.000000,0.347694,0.000061,0.000902,0.000118,0.000112,0.003036,0.000000,0.000005,0.000001,0.000001
DirectLighting,2956,2956.000000,0.347354,0.000060,0.001177,0.000118,0.000083,0.061333,0.000010,0.001120,0.000021,0.000021
Mass Phase Tick,17742,17742.000000,0.347014,0.000001,0.000371,0.000020,0.000005,0.004640,0.000000,0.000035,0.000000,0.000000
Nanite::Readback,2957,2957.000000,0.344658,0.000061,0.000901,0.000117,0.000112,0.344658,0.000061,0.000901,0.000117,0.000112
Radiosity,2956,2956.000000,0.340627,0.000051,0.001017,0.000115,0.000071,0.340627,0.000051,0.001017,0.000115,0.000071
StochasticLighting,2956,2956.000000,0.330137,0.000065,0.001026,0.000112,0.000075,0.330137,0.000065,0.001026,0.000112,0.000075
RenderVirtualShadowMaps,2957,2957.000000,0.318318,0.000042,0.001203,0.000108,0.000065,0.002080,0.000000,0.000002,0.000001,0.000001
Batched,2957,2957.000000,0.316238,0.000042,0.001203,0.000107,0.000054,0.050653,0.000006,0.001132,0.000017,0.000006
GT Tickable Time,2957,2957.000000,0.310406,0.000067,0.000686,0.000105,0.000086,0.002628,0.000000,0.000022,0.000001,0.000001
UI Drawing Time,2957,2957.000000,0.308026,0.000086,0.000282,0.000104,0.000098,0.127057,0.000034,0.000182,0.000043,0.000040
bDoingActorTicks,2957,2957.000000,0.304225,0.000011,0.002228,0.000103,0.000011,0.001545,0.000000,0.000056,0.000001,0.000001
GatherWindowElements,2956,2956.000000,0.302575,0.000074,0.000509,0.000102,0.000092,0.013292,0.000003,0.000028,0.000004,0.000004
UpdateStreamingRenderAssets,2112,2112.000000,0.300590,0.000111,0.000376,0.000142,0.000135,0.300590,0.000111,0.000376,0.000142,0.000135
CalcSceneView,2957,2957.000000,0.295093,0.000076,0.000302,0.000100,0.000094,0.048640,0.000012,0.000128,0.000016,0.000015
Bloom,2957,2957.000000,0.291917,0.000058,0.001102,0.000099,0.000058,0.291917,0.000058,0.001102,0.000099,0.000058
FWorldDelegates::OnWorldPostActorTick,2957,2957.000000,0.291734,0.000010,0.002225,0.000099,0.000010,0.013912,0.000003,0.000139,0.000005,0.000004
Slate::AddElements,2956,2956.000000,0.289283,0.000071,0.000501,0.000098,0.000088,0.001326,0.000000,0.000014,0.000000,0.000000
Add Elements Time,2956,2956.000000,0.287956,0.000070,0.000501,0.000097,0.000088,0.018421,0.000004,0.000040,0.000006,0.000006
USkinnedMeshComponent_TickComponent,35484,35484.000000,0.286314,0.000000,0.000237,0.000008,0.000000,0.005407,0.000000,0.000138,0.000000,0.000000
BP_MiningVehicle_TransporterLvl2_C,2772,2772.000000,0.284255,0.000025,0.000340,0.000103,0.000108,0.029172,0.000001,0.000101,0.000011,0.000011
NaniteBasePass,2956,2956.000000,0.281196,0.000024,0.001017,0.000095,0.000055,0.009698,0.000001,0.000625,0.000003,0.000001
SkinnedMeshComp Tick,35484,35484.000000,0.280907,0.000000,0.000237,0.000008,0.000000,0.061130,0.000000,0.000190,0.000002,0.000000
Nanite::BasePass,2956,2956.000000,0.271498,0.000023,0.001014,0.000092,0.000053,0.059822,0.000007,0.000838,0.000020,0.000007
Blueprint Time,3455,3455.000000,0.266630,0.000000,0.003746,0.000077,0.000076,0.024448,0.000000,0.000283,0.000007,0.000009
InstanceCulling,11828,11828.000000,0.266525,0.000004,0.001124,0.000023,0.000015,0.266525,0.000004,0.001124,0.000023,0.000015
