monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes
16801124.097964201,1182.064466178,0.000000000,0.000000000,256.468847394,0.000000000,32838,0,0,448,0,0,0,0,0,0,0,0
16801124.117329702,1182.064466178,0.000000000,0.000000000,256.468847394,0.000000000,32838,0,0,448,0,0,0,0,0,0,0,0
16801124.131756201,1182.064466178,0.000000000,0.000000000,256.986949593,0.000000000,32838,0,0,449,0,0,0,0,0,0,0,0
16801124.144787200,1182.064466178,0.000000000,0.000000000,256.986949593,0.000000000,32838,0,0,449,0,0,0,0,0,0,0,0
16801124.164914101,1182.064466178,0.000000000,0.000000000,256.986949593,0.000000000,32838,0,0,449,0,0,0,0,0,0,0,0
16801124.178816300,1182.064466178,0.000000000,0.000000000,256.986949593,0.000000000,32838,0,0,449,0,0,0,0,0,0,0,0
16801124.197983101,1182.064466178,0.000000000,0.000000000,256.986949593,0.000000000,32838,0,0,449,0,0,0,0,0,0,0,0
16801124.217579700,1182.064466178,0.000000000,0.000000000,256.986949593,0.000000000,32838,0,0,449,0,0,0,0,0,0,0,0
16801124.231444400,1182.064466178,0.000000000,0.000000000,257.524952292,0.000000000,32838,0,0,450,0,0,0,0,0,0,0,0
16801124.244642202,1182.064466178,0.000000000,0.000000000,257.524952292,0.000000000,32838,0,0,450,0,0,0,0,0,0,0,0
16801124.266165599,1182.064466178,0.000000000,0.000000000,257.524952292,0.000000000,32838,0,0,450,0,0,0,0,0,0,0,0
16801124.279468499,1182.064466178,0.000000000,0.000000000,257.524952292,0.000000000,32838,0,0,450,0,0,0,0,0,0,0,0
16801124.301619802,1182.064466178,0.000000000,0.000000000,257.524952292,0.000000000,32838,0,0,450,0,0,0,0,0,0,0,0
16801124.323286001,1182.064466178,0.000000000,0.000000000,257.524952292,0.000000000,32838,0,0,450,0,0,0,0,0,0,0,0
16801124.335571501,1182.064466178,0.000000000,0.000000000,258.168052882,0.000000000,32838,0,0,451,0,0,0,0,0,0,0,0
16801124.346720401,1182.064466178,0.000000000,0.000000000,258.168052882,0.000000000,32838,0,0,451,0,0,0,0,0,0,0,0
16801124.368366700,1182.064466178,0.000000000,0.000000000,258.168052882,0.000000000,32838,0,0,451,0,0,0,0,0,0,0,0
16801124.379859101,1182.064466178,0.000000000,0.000000000,258.168052882,0.000000000,32838,0,0,451,0,0,0,0,0,0,0,0
16801124.401392199,1182.064466178,0.000000000,0.000000000,258.168052882,0.000000000,32838,0,0,451,0,0,0,0,0,0,0,0
16801124.421067700,1182.064466178,0.000000000,0.000000000,258.168052882,0.000000000,32838,0,0,451,0,0,0,0,0,0,0,0
16801124.433855001,1182.064466178,0.000000000,0.000000000,258.763056248,0.000000000,32838,0,0,452,0,0,0,0,0,0,0,0
16801124.446126401,1182.064466178,0.000000000,0.000000000,258.763056248,0.000000000,32838,0,0,452,0,0,0,0,0,0,0,0
16801124.468236201,1182.064466178,0.000000000,0.000000000,258.763056248,0.000000000,32838,0,0,452,0,0,0,0,0,0,0,0
16801124.479617201,1182.064466178,0.000000000,0.000000000,258.763056248,0.000000000,32838,0,0,452,0,0,0,0,0,0,0,0
16801124.503056601,1182.064466178,0.000000000,0.000000000,258.763056248,0.000000000,32838,0,0,452,0,0,0,0,0,0,0,0
16801124.520044599,1182.064466178,0.000000000,0.000000000,258.763056248,0.000000000,32838,0,0,452,0,0,0,0,0,0,0,0
16801124.532934301,1182.064466178,0.000000000,0.000000000,259.342256933,0.000000000,32838,0,0,453,0,0,0,0,0,0,0,0
16801124.546471000,1182.064466178,0.000000000,0.000000000,259.342256933,0.000000000,32838,0,0,453,0,0,0,0,0,0,0,0
16801124.568776000,1182.064466178,0.000000000,0.000000000,259.342256933,0.000000000,32838,0,0,453,0,0,0,0,0,0,0,0
16801124.582329400,1182.064466178,0.000000000,0.000000000,259.342256933,0.000000000,32838,0,0,453,0,0,0,0,0,0,0,0
16801124.603249598,1182.064466178,0.000000000,0.000000000,259.342256933,0.000000000,32838,0,0,453,0,0,0,0,0,0,0,0
16801124.624994900,1182.064466178,0.000000000,0.000000000,259.342256933,0.000000000,32838,0,0,453,0,0,0,0,0,0,0,0
16801124.636568699,1182.064466178,0.000000000,0.000000000,260.292757303,0.000000000,32838,0,0,454,0,0,0,0,0,0,0,0
16801124.650222901,1182.064466178,0.000000000,0.000000000,260.292757303,0.000000000,32838,0,0,454,0,0,0,0,0,0,0,0
16801124.670800101,1182.064466178,0.000000000,0.000000000,260.292757303,0.000000000,32838,0,0,454,0,0,0,0,0,0,0,0
16801124.683336399,1182.064466178,0.000000000,0.000000000,260.292757303,0.000000000,32838,0,0,454,0,0,0,0,0,0,0,0
16801124.702069100,1182.064466178,0.000000000,0.000000000,260.292757303,0.000000000,32838,0,0,454,0,0,0,0,0,0,0,0
16801124.721845899,1182.064466178,0.000000000,0.000000000,260.292757303,0.000000000,32838,0,0,454,0,0,0,0,0,0,0,0
16801124.736167599,1182.064466178,0.000000000,0.000000000,260.807257146,0.000000000,32838,0,0,455,0,0,0,0,0,0,0,0
16801124.749657299,1182.064466178,0.000000000,0.000000000,260.807257146,0.000000000,32838,0,0,455,0,0,0,0,0,0,0,0
16801124.769490100,1182.064466178,0.000000000,0.000000000,260.807257146,0.000000000,32838,0,0,455,0,0,0,0,0,0,0,0
16801124.783202000,1182.064466178,0.000000000,0.000000000,260.807257146,0.000000000,32838,0,0,455,0,0,0,0,0,0,0,0
16801124.803123500,1182.064466178,0.000000000,0.000000000,260.807257146,0.000000000,32838,0,0,455,0,0,0,0,0,0,0,0
16801124.823952898,1182.064466178,0.000000000,0.000000000,260.807257146,0.000000000,32838,0,0,455,0,0,0,0,0,0,0,0
16801124.836982999,1182.064466178,0.000000000,0.000000000,261.332057416,0.000000000,32838,0,0,456,0,0,0,0,0,0,0,0
16801124.850359201,1182.064466178,0.000000000,0.000000000,261.332057416,0.000000000,32838,0,0,456,0,0,0,0,0,0,0,0
16801124.870706499,1182.064466178,0.000000000,0.000000000,261.332057416,0.000000000,32838,0,0,456,0,0,0,0,0,0,0,0
16801124.884236898,1182.064466178,0.000000000,0.000000000,261.332057416,0.000000000,32838,0,0,456,0,0,0,0,0,0,0,0
16801124.904621400,1182.064466178,0.000000000,0.000000000,261.332057416,0.000000000,32838,0,0,456,0,0,0,0,0,0,0,0
16801124.924149301,1182.064466178,0.000000000,0.000000000,261.332057416,0.000000000,32838,0,0,456,0,0,0,0,0,0,0,0
16801124.938992701,1182.064466178,0.000000000,0.000000000,261.832557619,0.000000000,32838,0,0,457,0,0,0,0,0,0,0,0
16801124.951850001,1182.064466178,0.000000000,0.000000000,261.832557619,0.000000000,32838,0,0,457,0,0,0,0,0,0,0,0
16801124.972111199,1182.064466178,0.000000000,0.000000000,261.832557619,0.000000000,32838,0,0,457,0,0,0,0,0,0,0,0
16801124.985564101,1182.064466178,0.000000000,0.000000000,261.832557619,0.000000000,32838,0,0,457,0,0,0,0,0,0,0,0
16801125.005367000,1182.064466178,0.000000000,0.000000000,261.832557619,0.000000000,32838,0,0,457,0,0,0,0,0,0,0,0
16801125.025273900,1182.064466178,0.000000000,0.000000000,261.832557619,0.000000000,32838,0,0,457,0,0,0,0,0,0,0,0
16801125.039463598,1182.064466178,0.000000000,0.000000000,262.355756015,0.000000000,32838,0,0,458,0,0,0,0,0,0,0,0
16801125.052581001,1182.064466178,0.000000000,0.000000000,262.355756015,0.000000000,32838,0,0,458,0,0,0,0,0,0,0,0
16801125.072516400,1182.064466178,0.000000000,0.000000000,262.355756015,0.000000000,32838,0,0,458,0,0,0,0,0,0,0,0
16801125.086023401,1182.064466178,0.000000000,0.000000000,262.355756015,0.000000000,32838,0,0,458,0,0,0,0,0,0,0,0
16801125.105842400,1182.064466178,0.000000000,0.000000000,262.355756015,0.000000000,32838,0,0,458,0,0,0,0,0,0,0,0
16801125.125283100,1182.064466178,0.000000000,0.000000000,262.355756015,0.000000000,32838,0,0,458,0,0,0,0,0,0,0,0
16801125.139026001,1182.064466178,0.000000000,0.000000000,262.877754867,0.000000000,32838,0,0,459,0,0,0,0,0,0,0,0
16801125.152611800,1182.064466178,0.000000000,0.000000000,262.877754867,0.000000000,32838,0,0,459,0,0,0,0,0,0,0,0
16801125.172623400,1182.064466178,0.000000000,0.000000000,262.877754867,0.000000000,32838,0,0,459,0,0,0,0,0,0,0,0
16801125.186789401,1182.064466178,0.000000000,0.000000000,262.877754867,0.000000000,32838,0,0,459,0,0,0,0,0,0,0,0
16801125.206204001,1182.064466178,0.000000000,0.000000000,262.877754867,0.000000000,32838,0,0,459,0,0,0,0,0,0,0,0
16801125.225823600,1182.064466178,0.000000000,0.000000000,262.877754867,0.000000000,32838,0,0,459,0,0,0,0,0,0,0,0
16801125.239747100,1182.064466178,0.000000000,0.000000000,263.401158154,0.000000000,32838,0,0,460,0,0,0,0,0,0,0,0
16801125.252951801,1182.064466178,0.000000000,0.000000000,263.401158154,0.000000000,32838,0,0,460,0,0,0,0,0,0,0,0
16801125.273018099,1182.064466178,0.000000000,0.000000000,263.401158154,0.000000000,32838,0,0,460,0,0,0,0,0,0,0,0
16801125.286025699,1182.064466178,0.000000000,0.000000000,263.401158154,0.000000000,32838,0,0,460,0,0,0,0,0,0,0,0
16801125.307550199,1182.064466178,0.000000000,0.000000000,263.401158154,0.000000000,32838,0,0,460,0,0,0,0,0,0,0,0
16801125.327165201,1182.064466178,0.000000000,0.000000000,263.401158154,0.000000000,32838,0,0,460,0,0,0,0,0,0,0,0
16801125.341106299,1182.064466178,0.000000000,0.000000000,263.930760324,0.000000000,32838,0,0,461,0,0,0,0,0,0,0,0
16801125.354960799,1182.064466178,0.000000000,0.000000000,263.930760324,0.000000000,32838,0,0,461,0,0,0,0,0,0,0,0
16801125.376373101,1182.064466178,0.000000000,0.000000000,263.930760324,0.000000000,32838,0,0,461,0,0,0,0,0,0,0,0
16801125.388204601,1182.064466178,0.000000000,0.000000000,263.930760324,0.000000000,32838,0,0,461,0,0,0,0,0,0,0,0
16801125.410035800,1182.064466178,0.000000000,0.000000000,263.930760324,0.000000000,32838,0,0,461,0,0,0,0,0,0,0,0
16801125.428153500,1182.064466178,0.000000000,0.000000000,263.930760324,0.000000000,32838,0,0,461,0,0,0,0,0,0,0,0
16801125.443661101,1182.064466178,0.000000000,0.000000000,264.451958239,0.000000000,32838,0,0,462,0,0,0,0,0,0,0,0
16801125.456502900,1182.064466178,0.000000000,0.000000000,264.451958239,0.000000000,32838,0,0,462,0,0,0,0,0,0,0,0
16801125.479148801,1182.064466178,0.000000000,0.000000000,264.451958239,0.000000000,32838,0,0,462,0,0,0,0,0,0,0,0
16801125.491372101,1182.064466178,0.000000000,0.000000000,264.451958239,0.000000000,32838,0,0,462,0,0,0,0,0,0,0,0
16801125.513828900,1182.064466178,0.000000000,0.000000000,264.451958239,0.000000000,32838,0,0,462,0,0,0,0,0,0,0,0
16801125.532135099,1182.064466178,0.000000000,0.000000000,264.451958239,0.000000000,32838,0,0,462,0,0,0,0,0,0,0,0
16801125.545220401,1182.064466178,0.000000000,0.000000000,265.018459409,0.000000000,32838,0,0,463,0,0,0,0,0,0,0,0
16801125.557812601,1182.064466178,0.000000000,0.000000000,265.018459409,0.000000000,32838,0,0,463,0,0,0,0,0,0,0,0
16801125.580204900,1182.064466178,0.000000000,0.000000000,265.018459409,0.000000000,32838,0,0,463,0,0,0,0,0,0,0,0
16801125.592091601,1182.064466178,0.000000000,0.000000000,265.018459409,0.000000000,32838,0,0,463,0,0,0,0,0,0,0,0
16801125.613598201,1182.064466178,0.000000000,0.000000000,265.018459409,0.000000000,32838,0,0,463,0,0,0,0,0,0,0,0
16801125.634963501,1182.064466178,0.000000000,0.000000000,265.018459409,0.000000000,32838,0,0,463,0,0,0,0,0,0,0,0
16801125.646205898,1182.064466178,0.000000000,0.000000000,265.624459833,0.000000000,32838,0,0,464,0,0,0,0,0,0,0,0
16801125.658404998,1182.064466178,0.000000000,0.000000000,265.624459833,0.000000000,32838,0,0,464,0,0,0,0,0,0,0,0
16801125.679142401,1182.064466178,0.000000000,0.000000000,265.624459833,0.000000000,32838,0,0,464,0,0,0,0,0,0,0,0
16801125.693290100,1182.064466178,0.000000000,0.000000000,265.624459833,0.000000000,32838,0,0,464,0,0,0,0,0,0,0,0
16801125.712165400,1182.064466178,0.000000000,0.000000000,265.624459833,0.000000000,32838,0,0,464,0,0,0,0,0,0,0,0
16801125.732818201,1182.064466178,0.000000000,0.000000000,265.624459833,0.000000000,32838,0,0,464,0,0,0,0,0,0,0,0
16801125.744780101,1182.064466178,0.000000000,0.000000000,266.151059419,0.000000000,32838,0,0,465,0,0,0,0,0,0,0,0
16801125.757167999,1182.064466178,0.000000000,0.000000000,266.151059419,0.000000000,32838,0,0,465,0,0,0,0,0,0,0,0
16801125.778643899,1182.064466178,0.000000000,0.000000000,266.151059419,0.000000000,32838,0,0,465,0,0,0,0,0,0,0,0
16801125.791353598,1182.064466178,0.000000000,0.000000000,266.151059419,0.000000000,32838,0,0,465,0,0,0,0,0,0,0,0
16801125.812563401,1182.064466178,0.000000000,0.000000000,266.151059419,0.000000000,32838,0,0,465,0,0,0,0,0,0,0,0
16801125.832284398,1182.064466178,0.000000000,0.000000000,266.151059419,0.000000000,32838,0,0,465,0,0,0,0,0,0,0,0
16801125.845672999,1182.064466178,0.000000000,0.000000000,266.779061407,0.000000000,32838,0,0,466,0,0,0,0,0,0,0,0
16801125.859196901,1182.064466178,0.000000000,0.000000000,266.779061407,0.000000000,32838,0,0,466,0,0,0,0,0,0,0,0
16801125.879188001,1182.064466178,0.000000000,0.000000000,266.779061407,0.000000000,32838,0,0,466,0,0,0,0,0,0,0,0
16801125.892680999,1182.064466178,0.000000000,0.000000000,266.779061407,0.000000000,32838,0,0,466,0,0,0,0,0,0,0,0
16801125.922968298,1182.064466178,0.000000000,0.000000000,266.779061407,0.000000000,32838,0,0,466,0,0,0,0,0,0,0,0
16801125.927145500,1182.064466178,0.000000000,0.000000000,267.326463014,0.000000000,32838,0,0,467,0,0,0,0,0,0,0,0
16801125.947670601,1182.064466178,0.000000000,0.000000000,267.326463014,0.000000000,32838,0,0,467,0,0,0,0,0,0,0,0
16801125.959146801,1182.064466178,0.000000000,0.000000000,267.326463014,0.000000000,32838,0,0,467,0,0,0,0,0,0,0,0
16801125.979748402,1182.064466178,0.000000000,0.000000000,267.326463014,0.000000000,32838,0,0,467,0,0,0,0,0,0,0,0
16801125.993188001,1182.064466178,0.000000000,0.000000000,267.326463014,0.000000000,32838,0,0,467,0,0,0,0,0,0,0,0
16801126.014238201,1182.064466178,0.000000000,0.000000000,267.326463014,0.000000000,32838,0,0,467,0,0,0,0,0,0,0,0
16801126.032297801,1182.064466178,0.000000000,0.000000000,267.326463014,0.000000000,32838,0,0,467,0,0,0,0,0,0,0,0
16801126.046424400,1182.064466178,0.000000000,0.000000000,267.847459763,0.000000000,32838,0,0,468,0,0,0,0,0,0,0,0
16801126.060519598,1182.064466178,0.000000000,0.000000000,267.847459763,0.000000000,32838,0,0,468,0,0,0,0,0,0,0,0
16801126.081123900,1182.064466178,0.000000000,0.000000000,267.847459763,0.000000000,32838,0,0,468,0,0,0,0,0,0,0,0
16801126.099514399,1182.064466178,0.000000000,0.000000000,267.847459763,0.000000000,32838,0,0,468,0,0,0,0,0,0,0,0
16801126.119728301,1182.064466178,0.000000000,0.000000000,267.847459763,0.000000000,32838,0,0,468,0,0,0,0,0,0,0,0
16801126.133582499,1182.064466178,0.000000000,0.000000000,268.419258296,0.000000000,32838,0,0,469,0,0,0,0,0,0,0,0
16801126.146004699,1182.064466178,0.000000000,0.000000000,268.419258296,0.000000000,32838,0,0,469,0,0,0,0,0,0,0,0
16801126.168511700,1182.064466178,0.000000000,0.000000000,268.419258296,0.000000000,32838,0,0,469,0,0,0,0,0,0,0,0
16801126.180800501,1182.064466178,0.000000000,0.000000000,268.419258296,0.000000000,32838,0,0,469,0,0,0,0,0,0,0,0
16801126.204376802,1182.064466178,0.000000000,0.000000000,268.419258296,0.000000000,32838,0,0,469,0,0,0,0,0,0,0,0
16801126.222388800,1182.064466178,0.000000000,0.000000000,268.419258296,0.000000000,32838,0,0,469,0,0,0,0,0,0,0,0
16801126.234993398,1182.064466178,0.000000000,0.000000000,269.015759230,0.000000000,32838,0,0,470,0,0,0,0,0,0,0,0
16801126.248579100,1182.064466178,0.000000000,0.000000000,269.015759230,0.000000000,32838,0,0,470,0,0,0,0,0,0,0,0
16801126.268614002,1182.064466178,0.000000000,0.000000000,269.015759230,0.000000000,32838,0,0,470,0,0,0,0,0,0,0,0
16801126.281778999,1182.064466178,0.000000000,0.000000000,269.015759230,0.000000000,32838,0,0,470,0,0,0,0,0,0,0,0
16801126.301729299,1182.064466178,0.000000000,0.000000000,269.015759230,0.000000000,32838,0,0,470,0,0,0,0,0,0,0,0
16801126.320515700,1182.064466178,0.000000000,0.000000000,269.015759230,0.000000000,32838,0,0,470,0,0,0,0,0,0,0,0
16801126.334171601,1182.064466178,0.000000000,0.000000000,269.531659782,0.000000000,32838,0,0,471,0,0,0,0,0,0,0,0
16801126.348255198,1182.064466178,0.000000000,0.000000000,269.531659782,0.000000000,32838,0,0,471,0,0,0,0,0,0,0,0
16801126.369542498,1182.064466178,0.000000000,0.000000000,269.531659782,0.000000000,32838,0,0,471,0,0,0,0,0,0,0,0
16801126.381900899,1182.064466178,0.000000000,0.000000000,269.531659782,0.000000000,32838,0,0,471,0,0,0,0,0,0,0,0
16801126.405166499,1182.064466178,0.000000000,0.000000000,269.531659782,0.000000000,32838,0,0,471,0,0,0,0,0,0,0,0
16801126.423640899,1182.064466178,0.000000000,0.000000000,269.531659782,0.000000000,32838,0,0,471,0,0,0,0,0,0,0,0
16801126.436147500,1182.064466178,0.000000000,0.000000000,270.112160593,0.000000000,32838,0,0,472,0,0,0,0,0,0,0,0
16801126.449838001,1182.064466178,0.000000000,0.000000000,270.112160593,0.000000000,32838,0,0,472,0,0,0,0,0,0,0,0
16801126.469893001,1182.064466178,0.000000000,0.000000000,270.112160593,0.000000000,32838,0,0,472,0,0,0,0,0,0,0,0
16801126.481736701,1182.064466178,0.000000000,0.000000000,270.112160593,0.000000000,32838,0,0,472,0,0,0,0,0,0,0,0
16801126.503387898,1182.064466178,0.000000000,0.000000000,270.112160593,0.000000000,32838,0,0,472,0,0,0,0,0,0,0,0
16801126.522225499,1182.064466178,0.000000000,0.000000000,270.112160593,0.000000000,32838,0,0,472,0,0,0,0,0,0,0,0
16801126.536372300,1182.064466178,0.000000000,0.000000000,270.647861063,0.000000000,32838,0,0,473,0,0,0,0,0,0,0,0
16801126.549532998,1182.064466178,0.000000000,0.000000000,270.647861063,0.000000000,32838,0,0,473,0,0,0,0,0,0,0,0
16801126.572177898,1182.064466178,0.000000000,0.000000000,270.647861063,0.000000000,32838,0,0,473,0,0,0,0,0,0,0,0
16801126.584178600,1182.064466178,0.000000000,0.000000000,270.647861063,0.000000000,32838,0,0,473,0,0,0,0,0,0,0,0
16801126.604215901,1182.064466178,0.000000000,0.000000000,270.647861063,0.000000000,32838,0,0,473,0,0,0,0,0,0,0,0
16801126.625635300,1182.064466178,0.000000000,0.000000000,270.647861063,0.000000000,32838,0,0,473,0,0,0,0,0,0,0,0
16801126.641336199,1182.064466178,0.000000000,0.000000000,271.294161677,0.000000000,32838,0,0,474,0,0,0,0,0,0,0,0
16801126.653632902,1182.064466178,0.000000000,0.000000000,271.294161677,0.000000000,32838,0,0,474,0,0,0,0,0,0,0,0
16801126.673136301,1182.064466178,0.000000000,0.000000000,271.294161677,0.000000000,32838,0,0,474,0,0,0,0,0,0,0,0
16801126.685537800,1182.064466178,0.000000000,0.000000000,271.294161677,0.000000000,32838,0,0,474,0,0,0,0,0,0,0,0
16801126.707766600,1182.064466178,0.000000000,0.000000000,271.294161677,0.000000000,32838,0,0,474,0,0,0,0,0,0,0,0
16801126.725243501,1182.064466178,0.000000000,0.000000000,271.294161677,0.000000000,32838,0,0,474,0,0,0,0,0,0,0,0
16801126.739990301,1182.064466178,0.000000000,0.000000000,271.810363978,0.000000000,32838,0,0,475,0,0,0,0,0,0,0,0
16801126.756016001,1182.064466178,0.000000000,0.000000000,271.810363978,0.000000000,32838,0,0,475,0,0,0,0,0,0,0,0
16801126.774915598,1182.064466178,0.000000000,0.000000000,271.810363978,0.000000000,32838,0,0,475,0,0,0,0,0,0,0,0
16801126.787239399,1182.064466178,0.000000000,0.000000000,271.810363978,0.000000000,32838,0,0,475,0,0,0,0,0,0,0,0
16801126.808230098,1182.064466178,0.000000000,0.000000000,271.810363978,0.000000000,32838,0,0,475,0,0,0,0,0,0,0,0
16801126.830062602,1182.064466178,0.000000000,0.000000000,271.810363978,0.000000000,32838,0,0,475,0,0,0,0,0,0,0,0
16801126.842566900,1182.064466178,0.000000000,0.000000000,272.348463535,0.000000000,32838,0,0,476,0,0,0,0,0,0,0,0
16801126.855736800,1182.064466178,0.000000000,0.000000000,272.348463535,0.000000000,32838,0,0,476,0,0,0,0,0,0,0,0
16801126.875601102,1182.064466178,0.000000000,0.000000000,272.348463535,0.000000000,32838,0,0,476,0,0,0,0,0,0,0,0
16801126.888749801,1182.064466178,0.000000000,0.000000000,272.348463535,0.000000000,32838,0,0,476,0,0,0,0,0,0,0,0
16801126.912656300,1182.064466178,0.000000000,0.000000000,272.348463535,0.000000000,32838,0,0,476,0,0,0,0,0,0,0,0
